,Address,MLS No,Penthouse,Renovation,Cats,Dogs,Ocean View,City View,Mountain View,Park View,Balcony,Storage,Pool,Laundry,Gym,Finished Floor,Lot Size,Year Built,Parking Space,Fireplace,Bedrooms,Total Bathrooms,Half Baths,Full Baths,Waiting Period,Floor,Latitude,Longitude,Land Only,Multifamily,Residential Attached,Residential Detached,Residential Detached,1/2 Duplex,Apartment/Condo,Duplex,Other,Other,Recreational,Residential Detached,Residential Detached,Row House (Non-Strata),Townhouse,Triplex,First Nations Lease,Freehold NonStrata,Freehold Strata,Leasehold not prepaid-NonStrata,Leasehold not prepaid-Strata,Leasehold prepaid-NonStrata,Leasehold prepaid-Strata,Other,Other,Shares in Co-operative,Undivided Interest,List Price,Sold Price,Sold Price per SqFt,List Date,Sold Date,Days on Market
17,348 STEVENS DRIVE,2337923,0,0,0,0,0,0,0,0,0,0,0,0,0,7506,17860,2019,6,5,6,8,1,7,0,0,50.7989412,-120.3166227,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6588000,5558000,740.47,2/4/2019,4/21/2019,76
18,2890 W 47TH AVENUE,2354189,0,1,0,0,0,0,0,1,0,0,0,0,0,4741,10681,1942,0,2,5,5,1,4,0,0,49.229064,-123.1601394,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5780000,5575000,1175,4/1/2019,04/09/2019,8
19,1116 CRESTLINE ROAD,2329979,0,0,0,0,1,1,0,0,0,0,0,0,0,7205,15540,2015,6,2,6,7,1,6,0,0,49.3560161,-123.1408193,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6990000,5600000,777.24,1/7/2019,04/02/2019,85
20,303 151 ATHLETES WAY,2367570,0,1,0,0,1,1,1,0,0,1,1,1,0,2703,0,2010,2,1,3,4,1,3,0,3,49.27196195,-123.1083885,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6398000,5700000,2108,5/8/2019,6/13/2019,36
21,PH2901 1277 MELVILLE STREET,2358285,1,0,1,1,1,0,1,1,0,0,0,0,0,2710,0,2007,3,3,2,3,1,2,0,29,49.2886055,-123.1249811,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5998000,5700000,2103,4/11/2019,4/19/2019,8
22,3425 W 34TH AVENUE,2319325,0,0,0,0,0,0,0,0,0,0,0,0,0,5496,8415,2018,6,1,5,7,1,6,0,0,49.2412017,-123.1558115,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6888000,5714286,1039,10/29/2018,2/24/2019,118
23,3320 WESTMOUNT ROAD,2355807,0,0,0,0,1,1,0,1,0,0,0,0,0,5773,12004,2019,7,2,5,6,2,4,0,0,49.3457193,-123.2124879,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6988000,5714286,989.83,4/3/2019,05/02/2019,29
24,2008 W 43RD AVENUE,2363233,0,0,0,0,0,0,0,0,0,0,0,0,0,5579,7894,2018,3,2,6,8,1,7,0,0,49.2328296,-123.1787341,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6380000,5800000,1039,4/24/2019,4/29/2019,5
25,102 315 RENFREW STREET,2336306,0,1,1,1,0,0,0,0,0,1,0,1,0,841,0,1992,1,1,1,2,1,1,0,1,49.2694059,-123.0442686,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,450000,420000,499.41,1/28/2019,3/20/2019,51
26,6475 MARGUERITE STREET,2352608,0,1,0,0,0,0,0,0,0,0,0,0,0,7657,13599,1989,2,3,6,8,1,7,0,0,49.2357095,-123.1446809,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5999000,5900000,770.54,3/26/2019,4/30/2019,35
