,Address,MLS No,Penthouse,Renovation,Cats,Dogs,Ocean View,City View,Mountain View,Park View,Balcony,Storage,Pool,Laundry,Gym,Finished Floor,Lot Size,Year Built,Parking Space,Fireplace,Bedrooms,Total Bathrooms,Half Baths,Full Baths,Waiting Period,Floor,Latitude,Longitude,Land Only,Multifamily,Residential Attached,Residential Detached,Residential Detached,1/2 Duplex,Apartment/Condo,Duplex,Other,Other,Recreational,Residential Detached,Residential Detached,Row House (Non-Strata),Townhouse,Triplex,First Nations Lease,Freehold NonStrata,Freehold Strata,Leasehold not prepaid-NonStrata,Leasehold not prepaid-Strata,Leasehold prepaid-NonStrata,Leasehold prepaid-Strata,Other,Other,Shares in Co-operative,Undivided Interest,List Price,Sold Price,Sold Price per SqFt,List Date,Sold Date,Days on Market
1223,301 5475 VINE STREET,2373526,0,0,0,0,0,0,0,0,1,0,0,0,0,1019,0,1958,0,0,2,1,0,1,0,3,49.2639188,-123.1576644,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,499000,501000,491.66,5/27/2019,5/30/2019,3
1224,PH5 418 E BROADWAY,2365891,1,0,0,0,0,0,1,1,0,1,0,1,0,673,0,1998,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,538000,501000,744.43,5/3/2019,05/11/2019,8
1225,107 5555 13A AVENUE,2361426,0,0,1,1,0,0,0,0,0,1,1,1,0,880,0,1996,1,1,2,2,0,2,0,1,49.0274704,-123.0708408,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499000,501123,569.46,4/23/2019,4/28/2019,5
1226,1102 2378 ALPHA AVENUE,2351463,0,0,0,0,0,0,0,0,1,0,1,0,0,458,0,2018,1,0,1,1,0,1,0,11,49.2662785,-123.0003867,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,539000,501500,1094,3/23/2019,4/14/2019,22
1227,701 4900 LENNOX LANE,2338926,1,0,1,1,0,0,0,0,0,1,1,1,0,551,0,2017,0,0,1,1,0,1,0,7,49.22326605,-122.9938337,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,514900,501500,910.16,2/4/2019,02/12/2019,8
1228,318 618 COMO LAKE AVENUE,2347565,0,0,1,1,0,0,1,0,0,1,0,1,0,769,0,2014,1,0,2,1,0,1,0,3,49.2632203,-122.8223614,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499800,502000,652.8,3/11/2019,3/13/2019,2
1229,412 1216 HOMER STREET,2343600,0,0,0,0,0,0,0,0,0,0,0,1,0,469,0,1997,0,1,0,1,0,1,0,4,49.2817951,-123.1133775,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,519000,502000,1070,2/26/2019,05/06/2019,69
1230,3 40327 DIAMOND HEAD ROAD,2322881,0,1,0,0,0,0,1,0,0,1,0,0,0,1020,0,1970,2,1,2,2,1,1,0,0,49.73964292,-123.1316326,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,519000,502000,492.16,11/13/2018,1/16/2019,64
1231,206 6740 STATION HILL COURT,2371139,0,0,1,1,0,0,0,0,0,1,0,1,0,877,0,1993,1,1,2,2,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499000,502000,572.41,5/17/2019,5/21/2019,4
1232,6808 MAPLE ROAD,2357734,0,0,0,0,0,0,0,0,0,0,0,0,0,990,23928,0,6,1,2,1,0,1,0,0,49.9068516,-119.3853898,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,289000,290000,292.93,4/9/2019,04/12/2019,3
1233,104 3788 W 10TH AVENUE,2333180,0,0,0,0,0,0,0,0,1,1,0,1,0,669,0,1997,1,1,1,1,0,1,0,1,49.2633948,-123.1874291,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499000,502000,750.37,1/11/2019,03/12/2019,60
1234,303 2060 BELLWOOD AVENUE,2370233,0,1,0,0,0,0,0,1,0,1,1,0,1,1097,0,1982,1,0,2,1,0,1,0,3,49.2663156,-122.9887386,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499900,502000,457.61,5/14/2019,5/24/2019,10
1235,201 2885 SPRUCE STREET,2350487,0,0,1,0,0,0,0,0,0,1,0,1,0,691,0,1977,1,1,1,1,0,1,0,2,49.25993795,-123.1296096,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,550000,502500,727.21,3/19/2019,3/28/2019,9
1236,807 8628 HAZELBRIDGE WAY,2319976,0,0,0,0,0,0,0,0,1,0,1,0,1,550,0,2018,1,0,1,1,0,1,0,8,49.1837594,-123.1327425,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,539000,503000,914.55,10/29/2018,5/20/2019,203
1237,201 2636 E HASTINGS STREET,2357810,0,0,1,1,0,0,0,0,0,1,0,1,0,664,0,2009,1,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,515000,503000,757.53,4/10/2019,4/16/2019,6
1238,309 1889 ALBERNI STREET,2343029,0,0,0,0,0,0,1,1,0,0,1,1,0,438,0,1998,1,0,1,1,0,1,0,3,49.2931369,-123.1353375,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,520000,503000,1148,2/25/2019,3/27/2019,30
1239,408 3520 CROWLEY DRIVE,2335548,0,1,0,0,0,0,0,1,0,1,0,1,1,701,0,2002,1,0,1,1,0,1,0,4,49.2358768,-123.0294515,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,525000,503000,717.55,1/25/2019,05/01/2019,96
1240,205 236 W 2ND STREET,2335242,0,1,1,1,0,0,0,0,0,1,0,1,0,847,0,1974,1,1,1,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,518800,504000,595.04,1/23/2019,1/31/2019,8
1241,77 11757 236 STREET,2357557,0,1,1,1,0,0,0,0,0,0,0,1,0,1329,0,1996,2,1,3,2,1,1,0,0,49.2199414,-122.5674113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,508000,504000,379.23,4/8/2019,4/30/2019,22
1242,114 2450 HAWTHORNE AVENUE,2351814,0,0,1,1,0,0,0,0,1,0,0,1,1,1320,0,1990,2,1,3,2,0,2,0,0,49.0333635,-122.2997159,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,549000,504000,381.82,3/21/2019,05/04/2019,44
1243,144 5421 10 AVENUE,2343484,0,0,0,0,0,0,0,0,0,1,0,1,0,761,0,1976,1,1,1,1,0,1,0,1,49.0222851,-123.0734495,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,299900,290000,381.08,2/25/2019,4/27/2019,61
1244,202 3122 ST JOHNS STREET,2360745,0,0,1,1,1,0,1,1,1,0,1,1,0,864,0,1998,2,1,2,2,0,2,0,2,49.2766073,-122.8501674,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,509888,504000,583.33,4/18/2019,05/03/2019,15
1245,1004 3333 SEXSMITH ROAD,2313878,0,0,1,1,0,0,0,0,1,1,1,1,1,541,0,2018,1,0,1,1,0,1,0,10,49.91804538,-119.394194,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,529900,505000,933.46,10/9/2018,01/12/2019,95
1246,20 22900 126 AVENUE,2355118,0,0,1,1,0,0,0,0,0,1,1,1,0,1460,0,1991,2,1,3,2,1,1,0,0,49.2313032,-122.5487834,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,519000,505000,345.89,4/3/2019,04/07/2019,4
1247,323 723 W 3RD STREET,2369021,0,0,1,1,0,0,0,0,1,1,0,1,1,622,0,2016,1,0,1,1,0,1,0,3,49.3179472,-123.0873725,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499900,505000,811.9,5/13/2019,5/17/2019,4
1248,1210 7988 ACKROYD ROAD,2330109,0,0,0,0,0,0,0,0,0,0,1,0,1,586,0,2013,1,0,1,1,0,1,0,12,49.1720166,-123.1367009,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,528000,505000,861.77,1/7/2019,02/12/2019,36
1249,316 618 COMO LAKE AVENUE,2350217,0,0,1,1,0,0,0,0,0,1,0,1,0,764,0,2014,2,0,2,2,0,2,0,3,49.2632203,-122.8223614,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,528000,505000,660.99,3/19/2019,04/07/2019,19
1250,204 720 CARNARVON STREET,2360025,0,1,1,1,0,1,0,0,0,0,0,1,0,849,0,1995,1,1,1,1,0,1,0,2,49.2609979,-123.1721723,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,520000,505000,594.82,4/17/2019,4/30/2019,13
1251,415 1150 BAILEY STREET,2347170,0,0,1,1,0,0,1,1,1,1,1,1,1,757,0,2017,1,0,2,1,0,1,0,4,49.1000506,-117.7022838,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,509000,505000,667.11,3/9/2019,4/24/2019,46
1252,1209 8180 GRANVILLE AVENUE,2373479,0,0,0,0,0,1,1,1,1,0,0,1,1,910,0,2000,2,1,2,2,0,2,0,12,49.1627725,-123.1339317,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499000,505000,554.95,5/27/2019,06/03/2019,7
1253,4 1328 BRUNETTE AVENUE,2372051,0,0,0,0,0,0,0,0,0,0,0,1,0,1158,0,1988,1,1,2,2,0,2,0,0,49.2366394,-122.8721425,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,510000,505000,436.1,5/22/2019,06/11/2019,20
1254,105 200 WESTHILL PLACE,2324359,0,0,1,1,0,0,0,0,0,0,1,1,0,625,0,1974,1,0,1,1,0,1,0,1,49.2837975,-122.8777497,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,295000,291000,465.6,11/21/2018,1/22/2019,62
1255,128 1185 PACIFIC STREET,2313169,0,0,0,0,0,0,0,0,1,1,0,1,1,1274,0,1997,2,1,2,2,0,2,0,1,49.2835044,-122.7981542,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,549900,505000,396.39,10/6/2018,1/18/2019,104
1256,331 1185 PACIFIC STREET,2341696,0,0,0,0,0,0,0,0,0,0,0,1,0,1020,0,1998,1,1,2,2,0,2,0,3,49.2835044,-122.7981542,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,549888,505000,495.1,2/19/2019,3/26/2019,35
1257,208 2627 SHAUGHNESSY STREET,2336394,0,0,0,0,0,0,0,0,1,1,0,1,0,1064,0,2008,1,1,2,2,0,2,0,2,49.2051583,-123.1289661,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499900,505000,474.62,1/29/2019,2/17/2019,19
1258,110 8760 BLUNDELL ROAD,2343693,0,1,0,0,0,0,0,0,1,0,1,0,0,1076,0,1982,1,1,2,2,0,2,0,1,49.1556041,-123.1650573,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,538800,505000,469.33,2/26/2019,03/10/2019,12
1259,6161 FAIRWAY  (LOOKOUT) AVENUE,2333766,0,0,0,0,0,0,0,1,0,0,0,0,0,2921,8400,1978,3,2,3,3,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,550000,505000,172.89,1/19/2019,1/29/2019,10
1260,511 1425 ESQUIMALT AVENUE,2340148,0,0,0,0,1,1,0,0,1,0,0,0,0,697,0,1965,1,0,1,1,0,1,0,5,49.3300482,-123.1308569,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,529000,505000,724.53,2/11/2019,2/20/2019,9
1261,206 1050 JERVIS STREET,2376645,0,1,1,1,0,0,0,0,0,1,0,1,0,666,0,1955,0,0,1,1,0,1,0,2,49.2842902,-123.1323198,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,495000,505000,758.26,6/4/2019,6/17/2019,13
1262,119 6800 ECKERSLEY ROAD,2352050,0,0,0,0,0,0,0,0,0,0,1,1,1,722,0,2011,1,1,1,1,0,1,0,1,49.1648272,-123.1301408,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,515800,505000,699.45,3/26/2019,3/30/2019,4
1263,306 833 AGNES STREET,2341493,0,0,0,0,0,1,0,1,1,1,0,1,1,786,0,2006,2,0,2,2,0,2,0,3,49.2016423,-122.9157734,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,515000,505000,642.49,2/19/2019,4/21/2019,61
1264,410 3520 CROWLEY DRIVE,2329154,0,0,0,0,0,0,0,0,0,1,0,1,0,701,0,2001,1,0,1,1,0,1,0,4,49.2358768,-123.0294515,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499000,505000,720.4,1/1/2019,01/07/2019,6
1265,Lot 25 SUNRISE PLACE,2304577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25177,0,0,0,0,0,0,0,0,0,49.2699527,-122.7995465,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,319900,291500,11.58,9/10/2018,01/11/2019,123
1266,220 1268 W BROADWAY,2370185,0,1,0,0,0,0,0,0,0,1,1,0,1,799,0,1993,1,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,519000,505000,632.04,5/14/2019,5/21/2019,7
1267,321 2495 WILSON AVENUE,2350353,0,0,0,0,0,0,0,1,1,1,1,1,1,829,0,2016,2,0,2,2,0,2,0,3,49.2305105,-123.0085309,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499900,505000,609.17,3/19/2019,5/21/2019,63
1268,405 7777 ROYAL OAK AVENUE,2347654,0,0,0,0,0,1,0,0,1,1,0,1,1,689,0,2012,1,1,1,1,0,1,0,4,49.21342925,-122.9887977,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,520000,505000,732.95,3/7/2019,6/13/2019,98
1269,2105 570 EMERSON STREET,2374482,0,0,0,0,0,1,1,0,1,1,1,1,1,603,0,2017,1,0,1,1,0,1,0,21,48.4345439,-123.3325834,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,523000,505000,837.48,5/27/2019,06/10/2019,14
1270,704 833 AGNES STREET,2333539,0,0,0,0,1,1,0,1,0,1,0,1,0,754,0,2006,1,0,2,1,0,1,0,7,49.2016423,-122.9157734,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,519000,505000,669.76,1/18/2019,02/05/2019,18
1271,1705 4900 LENNOX LANE,2352671,0,0,0,0,0,1,1,1,1,1,1,1,1,503,0,2017,1,0,1,1,0,1,0,17,49.22326605,-122.9938337,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,525000,505000,1003,3/27/2019,04/12/2019,16
1272,1607 4178 DAWSON STREET,2362079,0,0,0,0,0,1,1,1,0,0,1,1,0,672,0,2006,1,1,1,1,0,1,0,16,49.26367415,-123.0126294,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,518000,505000,751.49,4/23/2019,05/11/2019,18
1273,602 719 PRINCESS STREET,2318786,0,0,0,0,0,0,1,1,0,1,0,1,0,1075,0,1995,1,1,2,2,0,2,0,6,49.2132254,-122.9227752,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,509000,505000,469.77,10/29/2018,1/18/2019,81
1274,602 6538 NELSON AVENUE,2349674,0,0,0,0,0,0,0,0,0,0,1,1,0,505,0,2017,1,0,1,1,0,1,0,6,49.2189419,-122.9940527,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,558000,505000,1000,3/18/2019,04/09/2019,22
1275,901 833 AGNES STREET,2360530,0,0,0,0,0,1,0,1,1,1,1,1,1,748,0,2006,2,0,2,2,0,2,0,9,49.2016423,-122.9157734,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,515000,505000,675.13,4/16/2019,4/21/2019,5
1276,514 4295 BLACKCOMB WAY,2319394,0,0,0,0,0,0,0,0,0,0,1,0,1,412,0,1995,0,1,0,1,0,1,0,5,50.1217402,-122.9344609,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155000,148000,359.22,10/30/2018,2/19/2019,112
1277,301 535 BLUE MOUNTAIN STREET,2377493,0,0,0,0,1,0,0,1,0,1,0,1,0,639,0,1972,1,0,1,1,0,1,0,3,49.2368471,-122.8731007,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,299000,292500,457.75,6/4/2019,6/14/2019,10
1278,313 1385 DRAYCOTT ROAD,2344918,0,1,1,1,0,0,0,0,0,0,1,1,0,1042,0,1977,1,0,2,2,1,1,0,3,49.3374367,-123.0326728,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,529000,505000,484.64,3/1/2019,03/04/2019,3
1279,1311 7988 ACKROYD ROAD,2373429,0,0,0,0,0,1,1,0,0,0,1,1,1,540,0,2013,1,0,1,1,0,1,0,13,49.1720166,-123.1367009,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,530000,505000,935.19,5/27/2019,06/01/2019,5
1280,222 8775 JONES ROAD,2330169,0,0,1,1,1,1,0,0,0,0,0,1,1,1096,0,1993,1,1,2,2,0,2,0,2,49.1573867,-123.1309296,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,525000,505000,460.77,1/7/2019,2/19/2019,43
1281,202 5500 ARCADIA ROAD,2349508,0,1,0,0,0,0,0,0,0,1,0,1,0,1041,0,1989,1,1,2,2,0,2,0,2,49.17267465,-123.1256383,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,529000,505000,485.11,3/18/2019,4/25/2019,38
1282,205 8500 GENERAL CURRIE ROAD,2368107,0,0,0,0,0,0,0,0,0,1,1,1,1,1140,0,1991,1,1,2,2,0,2,0,2,49.1586161,-123.1296148,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,524800,506000,443.86,5/9/2019,5/19/2019,10
1283,5825 HERON PLACE,2347149,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,6378,1996,2,1,3,2,0,2,0,0,49.48383273,-123.7696859,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,519000,506000,418.53,3/7/2019,03/12/2019,5
1284,1001 3007 GLEN DRIVE,2353714,0,0,0,0,0,1,1,1,0,1,0,0,1,630,0,2015,1,0,1,1,0,1,0,10,49.2830585,-122.7938463,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,519000,506500,803.97,4/1/2019,4/18/2019,17
1285,308 588 BROUGHTON STREET,2367140,0,0,0,0,1,1,0,1,0,0,1,1,1,484,0,1995,1,0,1,1,0,1,0,3,49.2902606,-123.1262804,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499000,506800,1047,5/6/2019,5/17/2019,11
1286,2206 1188 HOWE STREET,2330215,0,0,1,0,1,1,0,1,1,1,1,1,1,495,0,1994,1,0,1,1,0,1,0,22,49.27780485,-123.1266536,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,539000,507000,1024,1/7/2019,2/13/2019,37
1287,202 2480 W 3RD AVENUE,2351895,0,0,1,1,0,0,0,0,0,1,0,1,0,551,0,1976,1,0,1,1,0,1,0,2,49.2688891,-123.1387921,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,525000,507000,920.15,3/25/2019,04/10/2019,16
1288,110 3638 VANNESS AVENUE,2344626,0,0,0,0,0,0,0,0,0,1,0,1,1,414,0,2005,1,0,0,1,0,1,0,1,49.2357787,-123.0270107,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,308000,294000,710.14,3/1/2019,04/10/2019,40
1289,102 3260 ST JOHNS STREET,2350190,0,0,1,1,0,0,0,0,0,1,0,1,0,851,0,2007,2,1,2,2,0,2,0,1,49.2766073,-122.8501674,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,518000,507000,595.77,3/19/2019,3/30/2019,11
1290,216 1 E CORDOVA STREET,2352968,0,1,0,0,0,1,0,0,1,0,0,1,1,511,0,1997,0,1,1,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,529000,507000,992.17,3/28/2019,04/04/2019,7
1291,207 2978 BURLINGTON DRIVE,2351891,0,0,0,0,0,0,0,1,0,1,1,1,0,1050,0,1993,1,1,2,2,0,2,0,2,49.284264,-122.7957599,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,528000,507000,482.86,3/25/2019,06/08/2019,75
1292,5739 ANCHOR ROAD,2331582,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,6000,1989,5,0,3,2,0,2,0,0,49.48144335,-123.7593782,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,535000,507500,417.01,1/11/2019,02/01/2019,21
1293,307 550 SEABORNE PLACE,2362186,0,0,1,1,0,0,0,1,1,1,1,1,1,895,0,2015,1,0,2,2,0,2,0,3,49.2559426,-122.7286852,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499000,507500,567.04,4/24/2019,05/05/2019,11
1294,PH308 1977 STEPHENS STREET,2317663,0,1,1,0,1,0,1,1,1,1,0,1,0,637,0,1982,1,0,1,1,0,1,0,3,49.2685957,-123.1667641,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,549000,507600,796.86,10/23/2018,1/21/2019,90
1295,2109 570 EMERSON STREET,2366678,0,0,0,0,0,1,1,0,1,1,1,0,0,600,0,2017,1,0,1,1,0,1,0,21,48.4345439,-123.3325834,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,510000,507800,846.33,5/6/2019,5/24/2019,18
1296,233 5600 ANDREWS ROAD,2317648,0,0,1,1,1,0,0,1,0,0,0,1,1,779,0,1999,1,1,2,2,0,2,0,2,49.12107205,-123.1618115,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,518800,508000,652.12,10/22/2018,02/08/2019,109
1297,17 123 LAVAL STREET,2309683,0,0,0,0,0,0,0,0,0,1,0,1,1,1181,0,1995,1,1,2,3,1,2,0,0,49.239768,-122.8573179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,532530,508000,430.14,9/25/2018,2/14/2019,142
1298,702 38 LEOPOLD PLACE,2328610,0,0,0,0,0,0,0,1,0,1,0,1,0,1224,0,1992,2,1,2,2,0,2,0,7,49.2110004,-122.8986121,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,508000,508000,415.03,12/20/2018,01/08/2019,19
1299,308 2473 ATKINS AVENUE,2356274,0,0,1,1,0,0,0,0,0,1,1,1,1,493,0,2012,1,0,0,1,0,1,0,3,48.4493581,-123.4780208,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,315000,295000,598.38,4/2/2019,5/20/2019,48
1300,505 1060 ALBERNI STREET,2331687,0,0,0,0,0,0,0,0,0,0,1,1,0,570,0,1990,1,0,1,1,0,1,0,5,49.2867066,-123.1259065,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,549900,508000,891.23,1/10/2019,3/30/2019,79
1301,812 445 W 2ND AVENUE,2362530,0,0,1,1,0,1,0,1,0,1,0,1,0,417,0,2012,1,0,0,1,0,1,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,530000,508000,1218,4/25/2019,4/30/2019,5
1302,1103 550 TAYLOR STREET,2369050,0,0,1,1,1,1,1,1,0,1,0,1,1,541,0,2005,1,0,0,1,0,1,0,11,49.2796779,-123.1055892,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,525000,508000,939,5/13/2019,5/28/2019,15
1303,2406 963 CHARLAND AVENUE,2330371,0,0,1,1,1,0,1,1,0,1,0,1,0,758,0,2014,1,0,2,2,0,2,0,24,49.248297,-122.8685152,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,528800,508000,670.18,1/8/2019,2/18/2019,41
1304,209 8600 LANSDOWNE ROAD,2303681,0,0,0,0,0,0,0,0,1,1,0,1,0,1113,0,1988,1,1,2,2,0,2,0,2,49.1732882,-123.1283697,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,519000,508000,456.42,9/6/2018,1/18/2019,134
